first_name,middle_name,last_name,thomas_id,twitter_account,state,dw_nominate,ideal_point,party
Steve,,Daines,2138,SteveDaines,MT,,,R
Michael,B.,Enzi,1542,SenatorEnzi,WY,,,R
Joni,,Ernst,2283,senjoniernst,IA,,,R
Dianne,,Feinstein,1332,SenFeinstein,CA,,,D
Jeff,,Flake,1633,JeffFlake,AZ,,,R
Al,,Franken,1969,,MN,,,D
Deb,,Fischer,2179,SenatorFischer,NE,,,R
Lindsey,,Graham,452,GrahamBlog,SC,,,R
Charles,E.,Grassley,457,ChuckGrassley,IA,,,R
Kirsten,E.,Gillibrand,1866,SenGillibrand,NY,,,D
Cory,,Gardner,1998,SenCoryGardner,CO,,,R
Orrin,G.,Hatch,1351,SenOrrinHatch,UT,,,R
Dean,,Heller,1863,SenDeanHeller,NV,,,R
Mazie,K.,Hirono,1844,MazieHirono,HI,,,D
Martin,,Heinrich,1937,MartinHeinrich,NM,,,D
John,,Hoeven,2079,SenJohnHoeven,ND,,,R
Heidi,,Heitkamp,2174,SenatorHeitkamp,ND,,,D
James,M.,Inhofe,583,InhofePress,OK,,,R
Johnny,,Isakson,1608,SenatorIsakson,GA,,,R
Ron,,Johnson,2086,SenRonJohnson,WI,,,R
Mark,Steven,Kirk,1647,SenatorKirk,IL,,,R
Amy,,Klobuchar,1826,amyklobuchar,MN,,,D
Angus,,King,2185,SenAngusKing,ME,,,I
Tim,,Kaine,2176,timkaine,VA,,,D
Patrick,J.,Leahy,1383,SenatorLeahy,VT,,,D
James,,Lankford,2050,SenatorLankford,OK,,,R
Mike,,Lee,2080,SenMikeLee,UT,,,R
Edward,J.,Markey,735,SenMarkey,MA,,,D
John,,McCain,754,SenJohnMcCain,AZ,,,R
Mitch,,McConnell,1395,McConnellPress,KY,,,R
Robert,,Menendez,791,SenatorMenendez,NJ,,,D
Barbara,A.,Mikulski,802,SenatorBarb,MD,,,D
Jerry,,Moran,1507,JerryMoran,KS,,,R
Patty,,Murray,1409,PattyMurray,WA,,,D
Lisa,,Murkowski,1694,LisaMurkowski,AK,,,R
Christopher,S.,Murphy,1837,ChrisMurphyCT,CT,,,D
Claire,,McCaskill,1820,clairecmc,MO,,,D
Jeff,,Merkley,1900,SenJeffMerkley,OR,,,D
Joe,,Manchin III,1983,Sen_JoeManchin,WV,,,D
Bill,,Nelson,859,SenBillNelson,FL,,,D
Rob,,Portman,924,SenRobPortman,OH,,,R
Gary,,Peters,1929,SenGaryPeters,MI,,,D
Rand,,Paul,2082,RandPaul,KY,,,R
David,,Perdue,2286,sendavidperdue,GA,,,R
Jack,,Reed,949,SenJackReed,RI,,,D
Harry,,Reid,952,SenatorReid,NV,,,D
Pat,,Roberts,968,SenPatRoberts,KS,,,R
Jim,,Risch,1896,SenatorRisch,ID,,,R
Marco,,Rubio,2084,SenRubioPress,FL,,,R
Mike,,Rounds,2288,SenatorRounds,SD,,,R
Bernard,,Sanders,1010,SenSanders,VT,,,I
Charles,E.,Schumer,1036,SenSchumer,NY,,,D
Richard,C.,Shelby,1049,SenShelby,AL,,,R
Debbie,,Stabenow,1531,SenStabenow,MI,,,D
Jeff,,Sessions,1548,SenatorSessions,AL,,,R
Jeanne,,Shaheen,1901,SenatorShaheen,NH,,,D
Tim,,Scott,2056,SenatorTimScott,SC,,,R
Brian,,Schatz,2173,SenBrianSchatz,HI,,,D
Ben,,Sasse,2289,SenSasse,NE,,,R
Dan,,Sullivan,2290,SenDanSullivan,AK,,,R
John,,Thune,1534,SenJohnThune,SD,,,R
Patrick,J.,Toomey,2085,SenToomey,PA,,,R
Jon,,Tester,1829,SenatorTester,MT,,,D
Thom,,Tillis,2291,SenThomTillis,NC,,,R
Tom,,Udall,1567,SenatorTomUdall,NM,,,D
David,,Vitter,1609,DavidVitter,LA,,,R
Roger,,Wicker,1226,SenatorWicker,MS,,,R
Ron,,Wyden,1247,RonWyden,OR,,,D
Sheldon,,Whitehouse,1823,SenWhitehouse,RI,,,D
Mark,,Warner,1897,MarkWarner,VA,,,D
Elizabeth,,Warren,2182,SenWarren,MA,,,D
