first_name,middle_name,last_name,thomas_id,twitter_account,state,dw_nominate,ideal_point,party
John,,Delaney,2133,RepJohnDelaney,MD,,,D
Ron,,DeSantis,2116,RepDeSantis,FL,,,R
Tammy,,Duckworth,2123,RepDuckworth,IL,,,D
Mark,,DeSaulnier,2227,RepDeSaulnier,CA,,,D
Debbie,,Dingell,2251,RepDebDingell,MI,,,D
Daniel,M.,Donovan,2293,,NY,,,R
Eliot,L.,Engel,344,RepEliotEngel,NY,,,D
Anna,G.,Eshoo,355,RepAnnaEshoo,CA,,,D
Keith,,Ellison,1857,KeithEllison,MN,,,D
Donna,,Edwards,1894,RepDonnaEdwards,MD,,,D
Renee,,Ellmers,2036,RepReneeEllmers,NC,,,R
Elizabeth,,Esty,2114,RepEsty,CT,,,D
Tom,,Emmer,2253,RepTomEmmer,MN,,,R
Sam,,Farr,368,RepSamFarr,CA,,,D
Chaka,,Fattah,371,ChakaFattah,PA,,,D
Rodney,,Frelinghuysen,414,USRepRodney,NJ,,,R
J.,Randy,Forbes,1683,Randy_Forbes,VA,,,R
Trent,,Franks,1707,RepTrentFranks,AZ,,,R
Jeff,,Fortenberry,1793,JeffFortenberry,NE,,,R
Virginia,,Foxx,1791,VirginiaFoxx,NC,,,R
Michael,G.,Fitzpatrick,1797,RepFitzpatrick,PA,,,R
Bill,,Foster,1888,RepBillFoster,IL,,,D
Marcia,L.,Fudge,1895,RepMarciaFudge,OH,,,D
John,,Fleming,1924,RepFleming,LA,,,R
Stephen,,Fincher,2064,RepFincherTN08,TN,,,R
Chuck,,Fleischmann,2061,RepChuck,TN,,,R
Blake,,Farenthold,2067,Farenthold,TX,,,R
Bill,,Flores,2065,RepBillFlores,TX,,,R
Lois,,Frankel,2119,RepLoisFrankel,FL,,,D
Robert,W.,Goodlatte,446,RepGoodlatte,VA,,,R
Kay,,Granger,1487,RepKayGranger,TX,,,R
Gene,,Green,462,RepGeneGreen,TX,,,D
Luis,V.,Gutierrez,478,RepGutierrez,IL,,,D
Sam,,Graves,1656,,MO,,,R
Scott,,Garrett,1737,RepGarrett,NJ,,,R
Raúl,M.,Grijalva,1708,RepraulGrijalva,AZ,,,D
Louie,,Gohmert,1801,RepLouieGohmert,TX,,,R
Al,,Green,1803,RepAlGreen,TX,,,D
Alan,,Grayson,1914,AlanGrayson,FL,,,D
Brett,,Guthrie,1922,RepGuthrie,KY,,,R
John,,Garamendi,1973,RepGaramendi,CA,,,D
Tom,,Graves,1979,RepTomGraves,GA,,,R
Bob,,Gibbs,2049,RepBobGibbs,OH,,,R
Chris,,Gibson,2043,RepChrisGibson,NY,,,R
Paul,,Gosar,1992,RepGosar,AZ,,,R
Trey,,Gowdy,2058,TGowdySC,SC,,,R
Morgan,,Griffith,2070,RepMGriffith,VA,,,R
Mike,,Grimm,2041,RepMichaelGrimm,NY,,,R
Frank,,Guinta,2038,RepFrankGuinta,NH,,,R
Tulsi,,Gabbard,2122,TulsiGabbard,HI,,,D
Ruben,,Gallego,2226,RepRubenGallego,AZ,,,D
Gwen,,Graham,2234,RepGwenGraham,FL,,,D
Glenn,,Grothman,2276,grothmanforwi,WI,,,R
Garret,,Graves,2245,garretgraves,LA,,,R
Alcee,L.,Hastings,511,RepHastingsFL,FL,,,D
Rubén,,Hinojosa,1490,USRepRHinojosa,TX,,,D
Steny,H.,Hoyer,566,WhipHoyer,MD,,,D
Michael,M.,Honda,1634,RepMikeHonda,CA,,,D
Jeb,,Hensarling,1749,RepHensarling,TX,,,R
Brian,,Higgins,1794,RepBrianHiggins,NY,,,D
Gregg,,Harper,1933,GreggHarper,MS,,,R
Jim,,Himes,1913,JAHimes,CT,,,D
Duncan,D.,Hunter,1909,Rep_Hunter,CA,,,R
Richard,,Hanna,2044,RepRichardHanna,NY,,,R
Andy,,Harris,2026,RepAndyHarrisMD,MD,,,R
Vicky,,Hartzler,2032,RepHartzler,MO,,,R
Joe,,Heck,2040,RepJoeHeck,NV,,,R
Jaime,,Herrera Beutler,2071,HerreraBeutler,WA,,,R
Tim,,Huelskamp,2020,CongHuelskamp,KS,,,R
Bill,,Huizenga,2028,RepHuizenga,MI,,,R
Randy,,Hultgren,2015,RepHultgren,IL,,,R
Robert,,Hurt,2069,RepRobertHurt,VA,,,R
Janice,,Hahn,2089,Rep_JaniceHahn,CA,,,D
Denny,,Heck,2170,RepDennyHeck,WA,,,D
George,,Holding,2143,RepHolding,NC,,,R
Richard,,Hudson,2140,RepRichHudson,NC,,,R
Jared,,Huffman,2101,RepHuffman,CA,,,D
Cresent,,Hardy,2260,RepHardy,NV,,,R
Jody,,Hice,2237,CongressmanHice,GA,,,R
French,,Hill,2223,RepFrenchHill,AR,,,R
Will,,Hurd,2269,HurdOnTheHill,TX,,,R
Darrell,,Issa,1640,DarrellIssa,CA,,,R
Steve,,Israel,1663,RepSteveIsrael,NY,,,D
Sheila,,Jackson-Lee,588,JacksonLeeTX18,TX,,,D
Eddie,Bernice,Johnson,599,RepEBJ,TX,,,D
Sam,,Johnson,603,SamsPressShop,TX,,,R
